Reference Key;Default Language;pl;
(Unique key that helps you identify a field);(Base language of your website content);(Language that you are translating);
24311000000429221;Why attend?;Why attend?;
24311000000429223;Event description;Event description;
24311000000429226;Our Speakers;Our Speakers;
24311000000429228;Exciting speakers to follow at the event;Exciting speakers to follow at the event;
24311000000429233;View Speakers;View Speakers;
24311000000429235;Featured sessions;Featured sessions;
24311000000429237;Interesting sessions at a glance;Interesting sessions at a glance;
24311000000429242;View Agenda;View Agenda;
24311000000429244;Our Sponsors;Our Sponsors;
24311000000429246;A special thanks to the individuals who made this event possible;A special thanks to the individuals who made this event possible;
24311000000429251;View Sponsors;View Sponsors;
24311000000429254;Venue;Venue;
24311000000429256;Our location and how you can get here;Our location and how you can get here;
24311000000429259;Get in touch;Get in touch;
24311000000429261;Got questions? Write to us.;Got questions? Write to us.;
24311000000429264;Download the app;Download the app;
24311000000429380;Countdown;Countdown;
24311000000429599;Agenda;Agenda;
24311000000429710;Featured speakers;Featured speakers;
24311000000429715;Speakers;Speakers;
24311000000429824;Our Speakers;Our Speakers;
24311000000440104;Plan;Plan;
24311000000440106;To reserve a seat, register now.;To reserve a seat, register now.;
24311000000440197;Tickets;Tickets;
24311000000440199;To reserve a seat, register now.;To reserve a seat, register now.;
24311000000440411;Networking;Networking;
24311000000440511;Sponsor Categories;Sponsor Categories;
24311000000440613;Our Sponsors;Our Sponsors;
24311000000440736;Where to stay;Where to stay;
24311000000440738;Popular hotel options near the event venue;Popular hotel options near the event venue;
24311000000440741;Get Directions;Get Directions;
24311000000440743;Directions to the event venue;Directions to the event venue;
24311000000441070;Exhibitors;Exhibitors;
24311000000441072;Explore the companies you can meet face-to-face when you attend;Explore the companies you can meet face-to-face when you attend;
24311000000441195;Floor Plan;Floor Plan;
24311000000441197;Refer to the floor plan to view the layout of the event;Refer to the floor plan to view the layout of the event;
24311000000441201;Exhibitor Categories;Exhibitor Categories;
24311000000441203;Exhibitor categories and their benefits will be displayed here;Exhibitor categories and their benefits will be displayed here;
24311000000441294;Apply to Exhibit;Apply to Exhibit;
24311000000441296;Apply to exhibit with us. Our team will get in touch with you to discuss your goals.;Apply to exhibit with us. Our team will get in touch with you to discuss your goals.;
24311000000441396;Gallery widget;Gallery widget;
24311000000441398;Enter a description for the gallery;Enter a description for the gallery;
24311000000441400;Gallery;Gallery;
24311000000441490;Gallery;Gallery;
24311000000441492;"Explore the world of <span class=""mention mention_eventName""><span>{eventName}</span></span> through files";"Explore the world of <span class=""mention mention_eventName""><span>{eventName}</span></span> through files";
24311000000441529;Home;Home;
24311000000441533;Agenda;Agenda;
24311000000441537;Speakers;Speakers;
24311000000441541;Discussions;Discussions;
24311000000441545;Tickets;Tickets;
24311000000441549;Networking;Networking;
24311000000441553;Sponsors;Sponsors;
24311000000441557;Venue;Venue;
24311000000441561;Exhibitors;Exhibitors;
24311000000441565;Exhibitors Listing;Exhibitors Listing;
24311000000441569;Apply to Exhibit;Apply to Exhibit;
24311000000441573;Gallery;Gallery;
