Reference Key;Default Language;pl;Unnamed: 3
(Unique key that helps you identify a field);(Base language of your website content);(Język bazowy treści twojej strony);
24311000000429221;Why attend?;Dlaczego warto uczestniczyć?;
24311000000429223;Event description;Opis wydarzenia;
24311000000429226;Our Speakers;Nasi prelegenci;
24311000000429228;Exciting speakers to follow at the event;Ciekawe prelekcje przed Tobą na wydarzeniu;
24311000000429233;View Speakers;Zobacz prelegentów;
24311000000429235;Featured sessions;Polecane sesje;
24311000000429237;Interesting sessions at a glance;Ciekawe sesje w skrócie;
24311000000429242;View Agenda;Zobacz agendę;
24311000000429244;Our Sponsors;nasi sponsorzy;
24311000000429246;A special thanks to the individuals who made this event possible;Szczególne podziękowania dla osób, które umożliwiły to wydarzenie;
24311000000429251;View Sponsors;Zobacz sponsorów;
24311000000429254;Venue;Miejsce;
24311000000429256;Our location and how you can get here;Nasza lokalizacja i jak do nas dotrzeć;
24311000000429259;Get in touch;Skontaktuj się;
24311000000429261;Got questions? Write to us.;Masz pytania? Napisz do nas.;
24311000000429264;Download the app;Pobierz aplikację;
24311000000429380;Countdown;Odliczanie;
24311000000429599;Agenda;Agenda;
24311000000429710;Featured speakers;Prelegenci specjalni;
24311000000429715;Speakers;Prelegenci;
24311000000429824;Our Speakers;Nasi prelegenci;
24311000000440104;Plan;Plan;
24311000000440106;To reserve a seat, register now.;Aby zarezerwować miejsce, zarejestruj się teraz.;
24311000000440197;Tickets;Bilety;
24311000000440199;To reserve a seat, register now.;Aby zarezerwować miejsce, zarejestruj się teraz.;
24311000000440411;Networking;networking;
24311000000440511;Sponsor Categories;Kategorie sponsorów;
24311000000440613;Our Sponsors;Nasi sponsorzy;
24311000000440736;Where to stay;Gdzie nocować;
24311000000440738;Popular hotel options near the event venue;Popularne hotele w pobliżu miejsca wydarzenia;
24311000000440741;Get Directions;Wyznacz trasę;
24311000000440743;Directions to the event venue;Wskazówki dojazdu na miejsce wydarzenia;
24311000000441070;Exhibitors;Wystawcy;
24311000000441072;Explore the companies you can meet face-to-face when you attend;Poznaj firmy, z którymi możesz spotkać się osobiście podczas wydarzenia;
24311000000441195;Floor Plan;Plan piętra;
24311000000441197;Refer to the floor plan to view the layout of the event;Sprawdź plan piętra, aby zobaczyć układ wydarzenia;
24311000000441201;Exhibitor Categories;Kategorie wystawców;
24311000000441203;Exhibitor categories and their benefits will be displayed here;Kategorie wystawców i ich korzyści zostaną tu wyświetlone;
24311000000441294;Apply to Exhibit;Złóż wniosek o udział jako wystawca;
24311000000441296;Apply to exhibit with us. Our team will get in touch with you to discuss your goals.;Złóż zgłoszenie na wystawcę. Nasz zespół skontaktuje się z Tobą, aby omówić Twoje cele.;
24311000000441396;Gallery widget;Widżet galerii;
24311000000441398;Enter a description for the gallery;Wpisz opis galerii;
24311000000441400;Gallery;Galeria;
24311000000441490;Gallery;Galeria;
24311000000441492;"Explore the world of <span class=""mention mention_eventName""><span>{eventName}</span></span> through files";"Odkrywaj świat <span class=""mention mention_eventName""><span>{eventName}</span></span> przez pliki";
24311000000441529;Home;Strona główna;
24311000000441533;Agenda;Agenda;
24311000000441537;Speakers;Prelegenci;
24311000000441541;Discussions;Dyskusje;
24311000000441545;Tickets;Bilety;
24311000000441549;Networking;Networking;
24311000000441553;Sponsors;Sponsorzy;
24311000000441557;Venue;Miejsce;
24311000000441561;Exhibitors;Wystawcy;
24311000000441565;Exhibitors Listing;Lista wystawców;
24311000000441569;Apply to Exhibit;Złóż wniosek o udział jako wystawca;
24311000000441573;Gallery;Galeria;
