Reference Key;Default Language;pl
(Unique key that helps you identify a field);(Base language of your website content);(Language that you are translating)
lbl.login;Sign In;Zaloguj się
lbl.login.with.mail;Sign in with Email Address;Zaloguj się przy użyciu adresu e-mail
lbl.login.with.ticket;Sign in with Ticket ID;Zaloguj się przy użyciu identyfikatora biletu
lbl.login.with.ticket.and.name;Sign in with Ticket ID and Name;Zaloguj się przy użyciu identyfikatora biletu i nazwiska
msg.sign.in.first.last.name;First or last name;Imię lub nazwisko
msg.sign.in.magic.link.otp;Sign in with a magic link or OTP;Zaloguj się za pomocą magicznego linku lub kodu OTP
lbl.email.address;Email Address;Adres e-mail
msg.err.register.to.login;Please enter the email address you've registered with;Wprowadź adres e-mail, którym się zarejestrowałeś
msg.error.ticket.not.found;Can't find ticket ID;Nie mogę znaleźć identyfikatora biletu
msg.error.ticket.sign.in.not.allowed;You can't sign in using ticket ID. Please contact your event organizer for more details.;Nie możesz zalogować się przy użyciu identyfikatora biletu. Skontaktuj się z organizatorem wydarzenia, aby uzyskać więcej informacji.
msg.permission.no.resource;We're sorry, either this resource has been deleted or you don't have permission to access it.;Przepraszamy, zasób został usunięty lub nie masz uprawnień do jego wyświetlenia.
msg.otp.can.only.be.in.numbers;The OTP can only be in numbers;Kod OTP może zawierać tylko cyfry
msg.error.enter.otp.received.via.mail;Please enter the OTP received via email;Wprowadź kod OTP otrzymany e-mailem
msg.error.otp.too.long;The OTP can't exceed 7 characters;Kod OTP nie może przekraczać 7 znaków
msg.error.otp.not.valid;The OTP you entered is not valid;Wprowadzony kod OTP jest nieprawidłowy
msg.error.otp.blocked;You have entered an incorrect OTP multiple times. Try regenerating a new OTP after {blockedTime} mins.;Wprowadzono nieprawidłowy kod OTP kilka razy. Spróbuj wygenerować nowy po {blockedTime} minutach.
msg.error.attendee.name.invalid;Attendee name is invalid for the ticket.;Nazwa uczestnika jest nieprawidłowa dla tego biletu.
msg.email.login.benefits.attend.live.sessions;Attend live sessions;Weź udział w sesjach na żywo
msg.email.login.benefits.edit.ticket.information;Edit ticket information;Edytuj dane biletu
msg.email.login.benefits.upload.images;Upload event images in gallery;Prześlij zdjęcia wydarzenia do galerii
msg.email.login.benefits.participate.discussions;Participate in discussions;Weź udział w dyskusjach
msg.email.login.benefits.customize.profile;Customize your profile;Dostosuj swój profil
msg.email.login.benefits.customize.privacy;Customize privacy settings;Dostosuj ustawienia prywatności
msg.email.login.benefits.one.on.one.chat;One-on-one chat;Czat jeden na jeden
msg.email.vs.ticket.modal.confirm.email.sub.header;Sign in with your email address to get the most out of this event;Zaloguj się przy użyciu adresu e-mail, aby w pełni korzystać z wydarzenia
msg.check.out.benefits.email.vs.ticket;Check out the benefits of these sign-in options;Sprawdź korzyści z tych metod logowania
