project_type,entry_month,N_entered,N_with_meeting,pct_with_meeting,median_days_to_meeting,mean_days_to_meeting,N_to_deal,pct_to_deal,N_won,pct_won_of_entered,win_rate_of_deals,avg_ojp,sum_ankiety,avg_ojp_weighted
PreSales,2024-11,26.0,25.0,96.15,46.0,46.09,26.0,100.0,2.0,7.69,7.69,,19.0,
PreSales,2024-12,16.0,16.0,100.0,29.0,29.07,16.0,100.0,0.0,0.0,0.0,,11.0,
PreSales,2025-01,193.0,42.0,21.76,7.5,31.02,30.0,15.54,7.0,3.63,23.33,,29.0,
PreSales,2025-02,254.0,23.0,9.06,13.0,39.72,41.0,16.14,5.0,1.97,12.2,3.0,14.0,3.0
PreSales,2025-03,231.0,19.0,8.23,12.0,21.63,48.0,20.78,6.0,2.6,12.5,,4.0,
PreSales,2025-04,679.0,29.0,4.27,33.0,64.41,86.0,12.67,9.0,1.33,10.47,3.33,15.0,3.33
PreSales,2025-05,659.0,20.0,3.03,21.0,49.52,94.0,14.26,9.0,1.37,9.57,4.0,3.0,4.0
PreSales,2025-06,331.0,22.0,6.65,11.0,16.88,47.0,14.2,6.0,1.81,12.77,3.12,8.0,3.12
PreSales,2025-07,466.0,17.0,3.65,5.5,14.6,99.0,21.24,8.0,1.72,8.08,3.43,7.0,3.43
PreSales,2025-08,252.0,7.0,2.78,7.5,20.6,36.0,14.29,9.0,3.57,25.0,3.5,6.0,3.5
PreSales,2025-09,292.0,10.0,3.42,5.0,13.0,43.0,14.73,8.0,2.74,18.6,3.56,9.0,3.56
PreSales,2025-10,713.0,7.0,0.98,6.5,14.92,36.0,5.05,5.0,0.7,13.89,4.0,2.0,4.0
PreSales,2025-11,219.0,6.0,2.74,3.5,8.29,46.0,21.0,11.0,5.02,23.91,4.29,7.0,4.29
PreSales,2025-12,195.0,6.0,3.08,10.0,12.42,53.0,27.18,3.0,1.54,5.66,4.0,4.0,4.0
Sales only,2025-01,20.0,0.0,0.0,,,20.0,100.0,5.0,25.0,25.0,,0.0,
Sales only,2025-02,23.0,0.0,0.0,,,23.0,100.0,12.0,52.17,52.17,,0.0,
Sales only,2025-03,20.0,0.0,0.0,,,20.0,100.0,11.0,55.0,55.0,,0.0,
Sales only,2025-04,27.0,0.0,0.0,,,27.0,100.0,19.0,70.37,70.37,,0.0,
Sales only,2025-05,39.0,0.0,0.0,,,39.0,100.0,24.0,61.54,61.54,,0.0,
Sales only,2025-06,28.0,0.0,0.0,,,28.0,100.0,15.0,53.57,53.57,,0.0,
Sales only,2025-07,31.0,0.0,0.0,,,31.0,100.0,15.0,48.39,48.39,,0.0,
Sales only,2025-08,15.0,0.0,0.0,,,15.0,100.0,6.0,40.0,40.0,,0.0,
Sales only,2025-09,33.0,0.0,0.0,,,33.0,100.0,15.0,45.45,45.45,,0.0,
Sales only,2025-10,44.0,0.0,0.0,,,44.0,100.0,14.0,31.82,31.82,,0.0,
Sales only,2025-11,16.0,0.0,0.0,,,16.0,100.0,6.0,37.5,37.5,,0.0,
Sales only,2025-12,7.0,0.0,0.0,,,7.0,100.0,2.0,28.57,28.57,,0.0,
