project_type,source_I_tier,source_II_tier,source_III_tier,N_entered,N_with_meeting,pct_with_meeting,median_days_to_meeting,mean_days_to_meeting,N_to_deal,pct_to_deal,N_won,pct_won_of_entered,win_rate_of_deals,avg_ojp,sum_ankiety,avg_ojp_weighted
PreSales,Inbound,Email na biuro,Email na biuro,31.0,7.0,22.58,2.0,2.71,20.0,64.52,1.0,3.23,5.0,4.0,3.0,4.0
PreSales,Inbound,Facebook,EBook Trudny Pacjent,539.0,4.0,0.74,27.0,70.0,7.0,1.3,0.0,0.0,0.0,,0.0,
PreSales,Inbound,Facebook,EBook Zmiany w prawie marketingu medycznego,606.0,5.0,0.83,15.5,16.33,6.0,0.99,0.0,0.0,0.0,3.5,2.0,3.5
PreSales,Inbound,Facebook,EBook Zyskowna przychodnia - redukcja kosztów,57.0,1.0,1.75,15.0,15.0,5.0,8.77,1.0,1.75,20.0,5.0,1.0,5.0
PreSales,Inbound,Facebook,Facebook,2.0,0.0,0.0,,,2.0,100.0,0.0,0.0,0.0,,0.0,
PreSales,Inbound,Facebook,Kurs MBM Black Friday,14.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,
PreSales,Inbound,Facebook,Umów spotkanie FB,51.0,4.0,7.84,7.0,5.6,2.0,3.92,0.0,0.0,0.0,2.0,2.0,2.0
PreSales,Inbound,Facebook,general,1.0,0.0,0.0,,,1.0,100.0,1.0,100.0,100.0,,0.0,
PreSales,Inbound,Konferencja,202509 AMOZ X,5.0,0.0,0.0,,,5.0,100.0,2.0,40.0,40.0,,0.0,
PreSales,Inbound,Konferencja,Konferencja,2.0,2.0,100.0,32.0,32.0,1.0,50.0,0.0,0.0,0.0,,1.0,
PreSales,Inbound,Konferencja,Konferencja zewnętrzna,3.0,0.0,0.0,,,3.0,100.0,0.0,0.0,0.0,,0.0,
PreSales,Inbound,Konferencja zewnętrzna,202510 Dolmed,1.0,1.0,100.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,,0.0,
PreSales,Inbound,LinkedIn,LinkedIn,2.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,
PreSales,Inbound,Polecenie,Firma polecająca,17.0,5.0,29.41,4.0,9.83,8.0,47.06,2.0,11.76,25.0,5.0,1.0,5.0
PreSales,Inbound,Polecenie,Partner polecający,676.0,2.0,0.3,7.5,7.5,7.0,1.04,0.0,0.0,0.0,4.0,1.0,4.0
PreSales,Inbound,Polecenie,Polecenie,13.0,2.0,15.38,6.0,6.0,3.0,23.08,0.0,0.0,0.0,,1.0,
PreSales,Inbound,Polecenie,Pracownik medidesk,9.0,1.0,11.11,4.0,4.0,7.0,77.78,0.0,0.0,0.0,2.0,1.0,2.0
PreSales,Inbound,Strona internetowa medidesk,Audyt Marketingowy 202503,75.0,5.0,6.67,10.0,9.2,8.0,10.67,2.0,2.67,25.0,3.83,6.0,3.83
PreSales,Inbound,Strona internetowa medidesk,Audyt Tajemniczego Pacjenta 202503,51.0,1.0,1.96,30.0,38.0,14.0,27.45,1.0,1.96,7.14,3.83,6.0,3.83
