cycle_uid,cycle_id,ml_id,lead_id,deal_id,account_id,account_name,ml_stage_start_time,lead_stage_start_time,deal_stage_start_time,ml_stage_end_time,ml_dead_time,lead_stage_end_time,lead_dead_time,deal_stage_current,deal_closing_date,deal_modified_time,deal_is_won,deal_is_lost,deal_pipeline,deal_produkt,deal_amount,ml_owner_current,lead_owner_current,lead_dla_salesa,deal_owner_current,project_type,source_from,source_I_tier,source_II_tier,source_III_tier,source_IV_tier,events_count_total,events_count_lead_stage,events_count_deal_stage,lead_first_meeting_time,lead_meetings_count,lead_meeting1_days,ankiety_count,ankieta_avg_quality,ankieta_avg_meeting,ankieta_presales_primary,ml_days_in_stage,lead_days_in_stage,cycle_to_sales_days
ml:751364000044557002,751364000044522010,751364000044557002,751364000044522010,,,,2025-12-30T22:12:24,2025-12-31T09:29:47,,2025-12-31T09:29:47,,2026-01-08T15:21:58,2026-01-08T15:21:58,,,,False,False,,,,Michał Modzelewski,Michał Modzelewski,,,PreSales,ML,Inbound,brak danych,brak danych,brak danych,0,0,0,,0,,0,,,,0.0,8.0,
ml:751364000044528013,751364000044528013,751364000044528013,,,,,2025-12-30T17:41:38,,,2025-12-31T09:14:03,2025-12-31T09:14:03,,,,,,False,False,,,,Michał Modzelewski,,,,PreSales,ML,Inbound,Strona internetowa medidesk,Medidesk Kontakt PL,Medidesk Kontakt PL,0,0,0,,0,,0,,,,0.0,,
ml:751364000044467003,751364000044467003,751364000044467003,,,,,2025-12-30T07:50:19,,,2025-12-30T08:53:38,2025-12-30T08:53:38,,,,,,False,False,,,,Michał Modzelewski,,,,PreSales,ML,Inbound,Strona internetowa medidesk,Medidesk Kontakt PL,Medidesk Kontakt PL,0,0,0,,0,,0,,,,0.0,,
ml:751364000044396002,751364000044396002,751364000044396002,,,,,2025-12-25T14:06:06,,,2025-12-26T16:10:52,2025-12-26T16:10:52,,,,,,False,False,,,,Michał Modzelewski,,,,PreSales,ML,Inbound,Facebook,EBook Zmiany w prawie marketingu medycznego,EBook Zmiany w prawie marketingu medycznego,0,0,0,,0,,0,,,,1.0,,
ml:751364000044394013,751364000044394013,751364000044394013,,,,,2025-12-28T18:57:56,,,2025-12-29T09:09:17,2025-12-29T09:09:17,,,,,,False,False,,,,Michał Modzelewski,,,,PreSales,ML,Inbound,Strona internetowa medidesk,Audyt Tajemniczego Pacjenta 202503,Audyt Tajemniczego Pacjenta 202503,0,0,0,,0,,0,,,,0.0,,
ml:751364000044393002,751364000044393002,751364000044393002,,,,,2025-12-25T13:55:04,,,2025-12-26T16:12:30,2025-12-26T16:12:30,,,,,,False,False,,,,Michał Modzelewski,,,,PreSales,ML,Inbound,Facebook,EBook Zmiany w prawie marketingu medycznego,EBook Zmiany w prawie marketingu medycznego,0,0,0,,0,,0,,,,1.0,,
ml:751364000044386002,751364000044386002,751364000044386002,,,,,2025-12-25T05:10:55,,,2025-12-26T16:08:20,2025-12-26T16:08:20,,,,,,False,False,,,,Michał Modzelewski,,,,PreSales,ML,Inbound,Facebook,Umów spotkanie FB,Umów spotkanie FB,0,0,0,,0,,0,,,,1.0,,
ml:751364000044372002,751364000044372002,751364000044372002,,,,,2025-12-24T14:26:49,,,2025-12-26T16:13:38,2025-12-26T16:13:38,,,,,,False,False,,,,Michał Modzelewski,,,,PreSales,ML,Inbound,Facebook,EBook Zmiany w prawie marketingu medycznego,EBook Zmiany w prawie marketingu medycznego,0,0,0,,0,,0,,,,2.0,,
ml:751364000044332060,751364000044332060,751364000044332060,,,,,2025-12-22T14:28:59,,,2025-12-22T14:50:57,2025-12-22T14:50:57,,,,,,False,False,,,,Michał Modzelewski,,,,PreSales,ML,Inbound,Facebook,EBook Zmiany w prawie marketingu medycznego,EBook Zmiany w prawie marketingu medycznego,0,0,0,,0,,0,,,,0.0,,
ml:751364000044332001,751364000044271023,751364000044332001,751364000044271023,,,,2025-12-22T11:22:17,2025-12-22T12:35:15,,2025-12-22T12:35:15,,2025-12-22T12:41:56,2025-12-22T12:41:56,,,,False,False,,,,Michał Modzelewski,Michał Modzelewski,,,PreSales,ML,Inbound,Facebook,EBook Zmiany w prawie marketingu medycznego,EBook Zmiany w prawie marketingu medycznego,0,0,0,,0,,0,,,,0.0,0.0,
