NIP;ID;Nazwa;Nazwa 2;01.2022;02.2022;03.2022;04.2022;05.2022;06.2022;07.2022;08.2022;09.2022;10.2022;11.2022;12.2022;01.2023;02.2023;03.2023;04.2023;05.2023;06.2023;07.2023;08.2023;09.2023;10.2023;11.2023;12.2023;01.2024;02.2024;03.2024;04.2024;05.2024;06.2024;07.2024;08.2024;09.2024;10.2024;11.2024;12.2024;01.2025;02.2025;03.2025;04.2025;05.2025;06.2025;07.2025;08.2025;09.2025;10.2025;11.2025;12.2025
5262380182;;Przychodnia KEN (CM Woronicza);;439,02 zł;439,02 zł;439,02 zł;rezygnacja;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5251488680;18;Poradnia Lekarska dr Alicja Karney;;950,00 zł;950,00 zł;950,00 zł;950,00 zł;950,00 zł;950,00 zł;950,00 zł;950,00 zł;950,00 zł;rezygnacja;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8982173923;222;PCM Optimum / Orthos;;1 910,00 zł;1 910,00 zł;1 910,00 zł;1 910,00 zł;1 910,00 zł;1 910,00 zł;rezygnacja;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5840203541;;LSSP (Lekarska Specjalistyczna Spółdzielnia Pracy);;rezygnacja;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7792425870;333;Centrum LA VIE;;495,00 zł;495,00 zł;495,00 zł;495,00 zł;495,00 zł;495,00 zł;495,00 zł;495,00 zł;495,00 zł;495,00 zł;495,00 zł;495,00 zł;rezygnacja;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;355;CM DoktorA;;0,00 zł;0,00 zł;0;1 370,00 zł;1 370,00 zł;1 370,00 zł;rezygnacja;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8992306076;368;Prywatna Poliklinika na Grobli;;1 344,00 zł;1 344,00 zł;1 344,00 zł;1 344,00 zł;1 344,00 zł;1 344,00 zł;1 344,00 zł;1 344,00 zł;rezygnacja;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7010343001;;SZPITAL OKULISTYCZNY RETINA;;2 154,50 zł;2 154,50 zł;2 154,50 zł;2 154,50 zł;2 154,50 zł;2 154,50 zł;2 154,50 zł;2 154,50 zł;2 154,50 zł;rezygnacja;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5213691717;;Voltamed;;1 541,11 zł;1 541,11 zł;rezygnacja;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6482796979;;Salveo Ustroń;;510,00 zł;510,00 zł;510,00 zł;510,00 zł;510,00 zł;510,00 zł;rezygnacja;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5422964757;;Gastromed Białystok;;711,20 zł;711,20 zł;rezygnacja;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;538;AM Medic;;609,75 zł;609,75 zł;609,75 zł;609,75 zł;609,75 zł;rezygnacja;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Gabinet Weterynaryjny Gryf;;540,00 zł;rezygnacja;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5213912615;;Mental Path (dawniej Centrum Terapii i Kreatywności);;407,00 zł;957,00 zł;957,00 zł;957,00 zł;957,00 zł;957,00 zł;0,00 zł;rezygnacja;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6922264302;;Medinet;;1 936,00 zł;rezygnacja;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5671583830;;NZOZ Vitamed Czerwińsk (NIP: 5671583830);;813,00 zł;rezygnacja;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7773358902;;CM Komorniki;;900,00 zł;900,00 zł;rezygnacja;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7921300143;;MedJar;;1 010,40 zł;rezygnacja;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
