NIP;Nazwa Placówki;Adres;Nr telefonu;Adres email
1181321322;NIEPUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ TOP - MED JOANNA SZAFRANEK;Juliusza Słowackiego 33, 22-100 Chełm;501475064;biuro@top-med.com.pl
5050090338;"Niepubliczny Zakład Opieki Zdrowotnej ""B.D.M. UNI-MED"" Urszula Bojarska, Sławomir Dzikowski, Jerzy Cezary Makolus Spółka Jawna";Stefanii Pawlak 30, 21-010 Łęczna;81 8551111, 669593999;kontakt@bdmunimed.pl
5060067281;PRZYCHODNIE OPIEKI ZDROWOTNEJ SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ;Kirkora 12, 08-500 Ryki;81-865 23 67;przychodnie.specjalistyczne@gmail.com
5060082174;SPECJALISTYCZNE CENTRUM MEDYCZNE SANMED A.D.KOŁODZIEJEK S.C.;Żytnia 16, 08-500 Ryki;818651227;kontakt@san-med.eu
5060118185;SZPITAL POWIATOWY W RYKACH SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ;Żytnia 23, 08-500 Ryki;533327028;sekretariat@rykiszpital.pl
5222874966;NOWOCZESNE CENTRUM MEDYCZNE OKOKLINIK SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ SPÓŁKA JAWNA;Orlich Gniazd 8/13, 01-493 Warszawa;222900099;CDS.KAMINSKI@O2.PL
5252521356;DAVITA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ;Legnicka 48 BUD.F, 54-202 Wrocław;71 342 98 50;pl_rozliczenie@davita.com
5272405713;"CENTRUM DIAGNOSTYKI MEDYCZNEJ ""MULTI-MED"" SPÓŁKA AKCYJNA";Okopowa 33, 01-059 Warszawa;226364774;przychodnia@multimed.pl
5273011347;REZONIKA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ;Złota 61/100, 00-819 Warszawa;601540723;mwozniak@rezonika.pl
5371448447;"Sadownik Jadwiga Niepubliczny Zakład Opieki Zdrowotnej ""Alergo-Med""";Łukaszyńska 40/2, 21-500 Biała Podlaska;833428608;alergo.med@wp.pl
5371960760;WOJEWÓDZKI SZPITAL SPECJALISTYCZNY W BIAŁEJ PODLASKIEJ;Terebelska 57-65, 21-500 Biała Podlaska;834 147 211;sekretariat@szpitalbp.pl
5371998202;"NZOZ Poradnia Ginekologiczno-Położnicza ""GYNE-VITA"" Marianna Migdal, Przemysław Migdal Spółka Cywilna";Terebelska 67, 21-500 Biała Podlaska;83-3428631;gynevita@interia.pl
5372056353;"NIEPUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ ""OKULISTA"" GRZEGORZ JOBDA,DARIUSZ CZOP SPÓŁKA JAWNA";Warszawska 14, 21-500 Biała Podlaska;833438602;grzegorzjobda@poczta.onet.pl
5372628536;"PRYWATNY GABINET LOGOPEDYCZNY ""ARTICULA"" AGNIESZKA GOŁAWSKA SPÓŁKA JAWNA";Terebelska 67B, 21-500 Biała Podlaska;531 532 144;agngol5@wp.pl
5372632727;POLSKI ZWIĄZEK GŁUCHYCH LUBELSKIE CENTRUM MEDYCZNE SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ;Henryka Sienkiewicza 1, 21-500 Biała Podlaska;504101825;jowita.wladyczuk@wp.pl
