NIP;Podsumowanie 360;Ostatnia aktywność Call/Spotkanie;Zielone światło dla AOS;Status klienta (grupa);Wygrany Deal (grupa);Wątpliwość (Deal wygrany, a status != 'jest');Walidacja NIP;Status weryfikacji ZOHO;ID rekordu ZOHO;Nazwa Placówki;Adres;Nr telefonu;Adres email
5050090338;"Nazwa: NIEPUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ ""B.D.M.UNI-MED"" URSZULA BOJARSKA, SŁAWOMIR DZIKOWSKI, JERZY CEZARY MAKOLUS SPÓŁKA JAWNA
📄 nie jest/nie był
--------------------
🏢 1
🧲 1 [❌ 1 24-02-2025]
--------------------
Brak zarejestrowanych aktywności.";;TAK;nie jest/nie był;NIE;NIE;PRAWIDŁOWY;ISTNIEJE;751364000002389480;"Niepubliczny Zakład Opieki Zdrowotnej ""B.D.M. UNI-MED"" Urszula Bojarska, Sławomir Dzikowski, Jerzy Cezary Makolus Spółka Jawna";Stefanii Pawlak 30, 21-010 Łęczna;81 8551111, 669593999;kontakt@bdmunimed.pl
5060067281;"Nazwa: PRZYCHODNIE OPIEKI ZDROWOTNEJ SP. Z O. O.
📄 nie jest/nie był
--------------------
👥 1 🏢 1
🧲 1 [❌ 1 23-03-2025]
🎯 1
--------------------
Brak zarejestrowanych aktywności.";;TAK;nie jest/nie był;NIE;NIE;PRAWIDŁOWY;ISTNIEJE;751364000002278054;PRZYCHODNIE OPIEKI ZDROWOTNEJ SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ;Kirkora 12, 08-500 Ryki;81-865 23 67;przychodnie.specjalistyczne@gmail.com
5060082174;"Nazwa: SPECJALISTYCZNE CENTRUM MEDYCZNE SANMED A.D. KOŁODZIEJEK S.C.
📄 nie jest/nie był
--------------------
👥 2 🏢 1
🎯 1 [❌ 1 20-05-2025]
--------------------
Brak zarejestrowanych aktywności.";;TAK;nie jest/nie był;NIE;NIE;PRAWIDŁOWY;ISTNIEJE;751364000002288857;SPECJALISTYCZNE CENTRUM MEDYCZNE SANMED A.D.KOŁODZIEJEK S.C.;Żytnia 16, 08-500 Ryki;818651227;kontakt@san-med.eu
5060118185;"Nazwa: SZPITAL POWIATOWY W RYKACH
📄 nie jest/nie był
--------------------
👥 3 🏢 1
🧲 1 [❌ 1 22-01-2025]
--------------------
Brak zarejestrowanych aktywności.";;TAK;nie jest/nie był;NIE;NIE;PRAWIDŁOWY;ISTNIEJE;751364000002276554;SZPITAL POWIATOWY W RYKACH SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ;Żytnia 23, 08-500 Ryki;533327028;sekretariat@rykiszpital.pl
5371998202;"Nazwa: NIEPUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ PORADNIA GINEKOLOGICZNO POŁOŻNICZA GYNE VITA
📄 nie jest/nie był
--------------------
🏢 1
--------------------
Brak zarejestrowanych aktywności.";;TAK;nie jest/nie był;NIE;NIE;PRAWIDŁOWY;ISTNIEJE;751364000002288334;"NZOZ Poradnia Ginekologiczno-Położnicza ""GYNE-VITA"" Marianna Migdal, Przemysław Migdal Spółka Cywilna";Terebelska 67, 21-500 Biała Podlaska;83-3428631;gynevita@interia.pl
5372632727;"Nazwa: POLSKI ZWIĄZEK GŁUCHYCH LUBELSKIE CENTRUM MEDYCZNE SP. Z O. O.
📄 nie jest/nie był
--------------------
🏢 1
--------------------
Brak zarejestrowanych aktywności.";;TAK;nie jest/nie był;NIE;NIE;PRAWIDŁOWY;ISTNIEJE;751364000002280056;POLSKI ZWIĄZEK GŁUCHYCH LUBELSKIE CENTRUM MEDYCZNE SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ;Henryka Sienkiewicza 1, 21-500 Biała Podlaska;504101825;jowita.wladyczuk@wp.pl
5381594311;"Nazwa: SAMODZIELNY PUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ W RADZYNIU PODLASKIM
📄 nie jest/nie był
--------------------
👥 1 🏢 1
🧲 1 [❌ 1 22-01-2025]
--------------------
Brak zarejestrowanych aktywności.";;TAK;nie jest/nie był;NIE;NIE;PRAWIDŁOWY;ISTNIEJE;751364000002213883;SAMODZIELNY PUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ W RADZYNIU PODLASKIM;Wisznicka 111, 21-300 Radzyń Podlaski;834132267;sekretariat@spzozrp.pl
5381594357;"Nazwa: SPZOZ W MIĘDZYRZECU PODLASKIM
📄 nie jest/nie był
--------------------
👥 4 🏢 2
🧲 1 [❌ 1 23-03-2025]
--------------------
Brak zarejestrowanych aktywności.";;TAK;nie jest/nie był;NIE;NIE;PRAWIDŁOWY;ISTNIEJE;751364000002213787;Samodzielny Publiczny Zakład Opieki Zdrowotnej w Międzyrzecu Podlaskim;Warszawska 2-4, 21-560 Międzyrzec Podlaski;833 714 011;spzozmc@spzozmc.pl
5391027140;"Nazwa: MEDICA CENTRUM EDWARD KISIEL
📄 nie jest/nie był
--------------------
🏢 2
--------------------
Brak zarejestrowanych aktywności.";;TAK;nie jest/nie był;NIE;NIE;PRAWIDŁOWY;ISTNIEJE;751364000002296372;MEDICA CENTRUM Edward Kisiel;Aleje Zwycięstwa 11, 21-200 Parczew;83-355 02 12;ekisielgabinet@onet.eu
5391333279;"Nazwa: SAMODZIELNY PUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ W PARCZEWIE
📄 nie jest/nie był
--------------------
👥 15 🏢 1
🧲 1 [❌ 1 22-01-2025]
--------------------
Brak zarejestrowanych aktywności.";;TAK;nie jest/nie był;NIE;NIE;PRAWIDŁOWY;ISTNIEJE;751364000002272321;SAMODZIELNY PUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ W PARCZEWIE;Kościelna 136, 21-200 Parczew;833 552 102;sekretariat@spzozparczew.pl
